Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,Hydrate,hydrate
10/24/2024 12:02:00 am,1194.800625,,36.861895,False,
10/24/2024 12:04:00 am,1199.5653,,37.90242,False,
10/24/2024 12:06:00 am,1199.5653,1200.0,37.90242,False,
10/24/2024 12:08:00 am,1193.5205999999998,1200.0,39.70821,False,
10/24/2024 12:10:00 am,1204.11075,1200.0,38.29466,False,
10/24/2024 12:12:00 am,1201.11375,1200.0,37.43541,False,
10/24/2024 12:16:00 am,1196.1282,1200.0,37.63421,False,
10/24/2024 12:18:00 am,1209.1386,1200.0,38.900965,False,
10/24/2024 12:20:00 am,1166.25975,1200.0,36.53151,False,
10/24/2024 12:22:00 am,1227.93885,1200.0,38.05413,False,
10/24/2024 12:24:00 am,1173.02475,1200.0,36.01077,False,
10/24/2024 12:26:00 am,1200.3819,1200.0,40.13501,False,
10/24/2024 12:28:00 am,1204.4209500000002,1200.0,39.71023,False,
10/24/2024 12:30:00 am,1208.4132,1200.0,38.40463,False,
10/24/2024 12:32:00 am,1208.9187,1200.0,36.65652,False,
10/24/2024 12:34:00 am,1205.46405,1200.0,35.59479,False,
10/24/2024 12:36:00 am,1194.9285,1200.0,35.555865,False,
10/24/2024 12:40:00 am,1194.35445,1200.0,37.05867,False,
10/24/2024 12:42:00 am,1193.1855,1200.0,38.36658,False,
10/24/2024 12:44:00 am,1189.7502,1200.0,40.034,False,
10/24/2024 12:46:00 am,1224.6372,1200.0,35.86964,False,
10/24/2024 12:48:00 am,1202.8062,1200.0,38.237015,False,
10/24/2024 12:50:00 am,1183.7403,1200.0,36.72916,False,
10/24/2024 12:52:00 am,1186.8724499999998,1200.0,39.10376,False,
10/24/2024 12:54:00 am,1206.98445,1200.0,39.14215,False,
10/24/2024 12:56:00 am,1207.44075,1200.0,37.143,False,
10/24/2024 12:58:00 am,1210.33155,1200.0,35.02798,False,
10/24/2024 1:00:00 am,1188.786,1200.0,36.21732,False,
10/24/2024 1:04:00 am,1186.5709499999998,1200.0,38.17124,False,
10/24/2024 1:06:00 am,1204.355775,1200.0,39.40019,False,
10/24/2024 1:08:00 am,1201.3779,1200.0,38.39149,False,
10/24/2024 1:10:00 am,1201.1526,1200.0,37.64333,False,
10/24/2024 1:12:00 am,1191.85515,1200.0,38.077,False,
10/24/2024 1:14:00 am,1210.204275,1200.0,37.87709,False,
10/24/2024 1:16:00 am,1187.72505,1200.0,37.79684,False,
10/24/2024 1:18:00 am,1205.6547,1200.0,39.6918,False,
10/24/2024 1:20:00 am,1205.1396,1200.0,38.03617,False,
10/24/2024 1:22:00 am,1213.40295,1200.0,35.0066,False,
10/24/2024 1:24:00 am,1181.9055,1200.0,36.93865,False,
10/24/2024 1:28:00 am,1193.62815,1200.0,40.0555,False,
10/24/2024 1:30:00 am,1175.2312499999998,1200.0,34.98455,False,
10/24/2024 1:32:00 am,1187.0019,1200.0,40.05278,False,
10/24/2024 1:34:00 am,1216.6032,1200.0,35.03526,False,
10/24/2024 1:38:00 am,1229.7969,1200.0,35.03354,False,
10/24/2024 1:40:00 am,1187.57475,1200.0,38.69313,False,
