Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,deviation
10/01/2024 12:00:00 am,1319.2814500000006,,,
10/01/2024 12:05:00 am,1317.91755,1350.0,28.3119,-32.08245000000011
10/01/2024 12:10:00 am,1316.61693,1350.0,28.3119,-33.38307000000009
10/01/2024 12:15:00 am,1316.5769249999998,1350.0,28.3119,-33.42307500000015
10/01/2024 12:20:00 am,1314.89205,1350.0,28.3119,-35.10795000000007
10/01/2024 12:25:00 am,1319.559975,1350.0,28.3119,-30.440025000000105
10/01/2024 12:30:00 am,1314.7724500000004,1350.0,28.3119,-35.22754999999961
10/01/2024 12:35:00 am,1316.86062,1350.0,28.3119,-33.139380000000074
10/01/2024 12:40:00 am,1318.7138749999997,1350.0,28.3119,-31.28612500000031
10/01/2024 12:45:00 am,1323.6382875,1350.0,28.3119,-26.361712500000067
10/01/2024 12:50:00 am,1328.367525,1350.0,28.3119,-21.632475000000113
10/01/2024 12:55:00 am,1328.0085,1350.0,28.3119,-21.991500000000087
10/01/2024 1:00:00 am,1330.7658,1350.0,28.3119,-19.2342000000001
10/01/2024 1:05:00 am,1330.608,1350.0,28.3119,-19.392000000000053
10/01/2024 1:10:00 am,1326.9111375,1350.0,28.3119,-23.088862500000005
10/01/2024 1:15:00 am,1324.9266250000005,1350.0,28.3119,-25.073374999999487
10/01/2024 1:20:00 am,1328.1901000000005,1350.0,28.3119,-21.809899999999516
10/01/2024 1:25:00 am,1330.04655,1350.0,28.3119,-19.953449999999975
10/01/2024 1:30:00 am,1328.691,1350.0,28.3119,-21.30899999999997
10/01/2024 1:35:00 am,1332.1044499999994,1350.0,28.3119,-17.89555000000064
10/01/2024 1:40:00 am,1331.899849999999,1350.0,28.3119,-18.100150000000895
10/01/2024 1:45:00 am,1334.929275,1350.0,28.3119,-15.070725000000039
10/01/2024 1:50:00 am,1335.2142250000006,1350.0,28.3119,-14.785774999999376
10/01/2024 1:55:00 am,1329.80334,1350.0,28.3119,-20.196660000000065
10/01/2024 2:00:00 am,1328.9226,1350.0,28.3119,-21.077399999999898
10/01/2024 2:05:00 am,1331.0526,1350.0,28.3119,-18.947400000000016
10/01/2024 2:10:00 am,1330.557225,1350.0,28.3119,-19.442774999999983
10/01/2024 2:15:00 am,1331.794725,1350.0,28.3119,-18.20527500000003
10/01/2024 2:20:00 am,1331.1055000000006,1350.0,28.3119,-18.894499999999425
10/01/2024 2:25:00 am,1329.23952,1350.0,28.3119,-20.760479999999916
10/01/2024 2:30:00 am,1333.2706875,1350.0,28.3119,-16.729312500000106
10/01/2024 2:35:00 am,1331.4706125,1350.0,28.3119,-18.529387499999984
10/01/2024 2:40:00 am,1332.4436749999995,1350.0,28.3119,-17.55632500000047
10/01/2024 2:45:00 am,1335.16371,1350.0,28.3119,-14.836289999999963
10/01/2024 2:50:00 am,1332.81255,1350.0,28.3119,-17.1874499999999
10/01/2024 2:55:00 am,1338.9817999999996,1350.0,28.3119,-11.018200000000434
10/01/2024 3:00:00 am,1340.5489999999995,1350.0,28.3119,-9.451000000000477
10/01/2024 3:05:00 am,1346.0176000000006,1350.0,28.3119,-3.9823999999994157
10/01/2024 3:10:00 am,1348.282875,1350.0,28.3119,-1.7171249999998963
10/01/2024 3:15:00 am,1347.0949500000002,1350.0,28.3119,-2.9050499999998465
10/01/2024 3:20:00 am,1345.1877,1350.0,28.3119,-4.81230000000005
10/01/2024 3:25:00 am,1345.3531125,1350.0,28.3119,-4.646887500000048
10/01/2024 3:30:00 am,1347.8008000000004,1350.0,28.3119,-2.199199999999564
10/01/2024 3:35:00 am,1352.360025,1350.0,28.3119,2.3600249999999505
10/01/2024 3:40:00 am,1354.502025,1350.0,28.3119,4.502025000000003
10/01/2024 3:45:00 am,1358.17005,1350.0,28.3119,8.170049999999947
10/01/2024 3:50:00 am,1356.54045,1350.0,28.3119,6.540449999999964
10/01/2024 3:55:00 am,1355.10447,1350.0,28.3119,5.104469999999992
10/01/2024 4:00:00 am,1358.3389000000004,1350.0,28.3119,8.338900000000422
