Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,deviation,ratio,train_flag
09/25/2024 12:00:00 am,993.0021499999996,,43.6407633333333,,22.75400506666971,False
09/25/2024 12:02:00 am,979.919175,,43.4738,,22.540453675547116,False
09/25/2024 12:04:00 am,976.15725,,43.4738,,22.453920522245586,False
09/25/2024 12:06:00 am,963.7434,973.5,43.4738,-9.756600000000049,22.16837267503646,False
09/25/2024 12:08:00 am,945.1983,973.5,44.33266,-28.301699999999983,21.320586222437367,False
09/25/2024 12:12:00 am,939.544575,973.5,49.359535,-33.95542499999999,19.034712847274594,False
09/25/2024 12:14:00 am,965.904225,973.5,51.36454,-7.595775000000003,18.80488416717058,False
09/25/2024 12:16:00 am,971.64525,973.5,51.36454,-1.8547499999999677,18.91665436894792,False
09/25/2024 12:18:00 am,968.4021,973.5,51.36454,-5.097899999999981,18.853514506311164,False
09/25/2024 12:20:00 am,971.53935,973.5,51.36454,-1.960649999999987,18.914592635308328,False
09/25/2024 12:22:00 am,982.63965,973.5,51.36454,9.13964999999996,19.13070086873162,False
09/25/2024 12:24:00 am,984.27795,973.5,51.36454,10.777950000000033,19.162596413790528,False
09/25/2024 12:26:00 am,990.134025,973.5,51.36454,16.63402499999995,19.276606487666395,False
09/25/2024 12:28:00 am,989.2005,973.5,51.36454,15.700500000000034,19.258431984400133,False
09/25/2024 12:30:00 am,985.114575,973.5,51.36454,11.614574999999943,19.178884401573537,False
09/25/2024 12:32:00 am,986.9406,973.5,51.36454,13.440600000000018,19.21443470534341,False
09/25/2024 12:36:00 am,981.640725,973.5,51.36454,8.140724999999975,19.11125311352929,False
09/25/2024 12:38:00 am,978.3714499999996,973.5,51.36454,4.871449999999641,19.04760463152205,False
09/25/2024 12:40:00 am,980.8428,973.5,51.36454,7.342800000000011,19.095718563818544,False
09/25/2024 12:42:00 am,990.732525,973.5,51.36454,17.23252500000001,19.288258495062937,False
09/25/2024 12:44:00 am,1008.5922,973.5,49.496275,35.09220000000005,20.377133430748074,False
09/25/2024 12:46:00 am,991.934625,973.5,43.57415,18.434624999999983,22.764290869701416,False
09/25/2024 12:48:00 am,990.369225,973.5,42.90965,16.86922500000003,23.080337989240185,False
09/25/2024 12:50:00 am,994.56825,973.5,42.53282,21.068250000000035,23.383548281068595,False
09/25/2024 12:52:00 am,978.54,973.5,41.90619,5.039999999999964,23.3507269451124,False
09/25/2024 12:54:00 am,976.362825,973.5,41.90619,2.8628250000000435,23.298773403165494,False
09/25/2024 12:56:00 am,984.346125,973.5,41.90619,10.846125000000027,23.489277479055,False
09/25/2024 1:00:00 am,998.877375,973.5,41.73146,25.37737500000003,23.93583581786978,False
09/25/2024 1:02:00 am,971.7225499999996,973.5,41.33042,-1.7774500000003854,23.51107368374189,False
09/25/2024 1:04:00 am,955.857975,973.5,41.33042,-17.64202499999999,23.1272262657868,False
09/25/2024 1:06:00 am,938.265525,973.5,45.23089,-35.234474999999975,20.74391030112385,False
09/25/2024 1:08:00 am,952.373625,973.5,49.03334,-21.126375000000053,19.42298087382993,False
09/25/2024 1:10:00 am,946.55145,973.5,49.42419,-26.948549999999955,19.151582453855085,False
09/25/2024 1:12:00 am,967.1415499999996,973.5,49.48221,-6.358450000000403,19.54523757124024,False
09/25/2024 1:14:00 am,962.369925,973.5,49.48221,-11.130075000000032,19.44880644983318,False
09/25/2024 1:16:00 am,960.7374,973.5,49.48221,-12.76260000000002,19.41581428962045,False
09/25/2024 1:18:00 am,961.57665,973.5,49.48221,-11.923350000000028,19.432774930626582,False
09/25/2024 1:22:00 am,964.696425,973.5,49.48221,-8.803575000000023,19.495823347421226,False
09/25/2024 1:24:00 am,961.83705,973.5,49.48221,-11.662950000000023,19.43803742799685,False
09/25/2024 1:26:00 am,964.17405,973.5,49.48221,-9.325950000000034,19.485266523059497,False
09/25/2024 1:28:00 am,968.9218999999996,973.5,49.48221,-4.578100000000404,19.5812171687562,False
09/25/2024 1:30:00 am,975.866925,973.5,49.48221,2.366925000000037,19.721571146478706,False
09/25/2024 1:32:00 am,987.096225,973.5,49.48221,13.596225000000004,19.948507251393984,False
09/25/2024 1:34:00 am,995.5518,973.5,49.48221,22.05179999999996,20.11938836199919,False
09/25/2024 1:36:00 am,1019.7147,973.5,45.197135,46.21469999999999,22.56148979354554,False
09/25/2024 1:38:00 am,989.45265,973.5,41.35633,15.952649999999949,23.925059356088894,False
09/25/2024 1:40:00 am,994.84245,973.5,41.016445,21.342449999999985,24.254721490368077,False
